date,T,Salinity
2019-09-28 00:00:00,22.73,38.295
2019-09-28 02:00:00,22.67,38.325
2019-09-28 04:00:00,22.615000000000002,38.29
2019-09-28 06:00:00,22.53,38.335
2019-09-28 08:00:00,22.52,38.32
2019-09-28 10:00:00,22.655,38.33
2019-09-28 12:00:00,22.715,38.34
2019-09-28 14:00:00,22.715,38.335
2019-09-28 16:00:00,22.634999999999998,38.34
2019-09-28 18:00:00,22.545,38.34
2019-09-28 20:00:00,22.525,38.41
2019-09-28 22:00:00,22.445,38.32
2019-09-29 00:00:00,22.380000000000003,38.35
2019-09-29 02:00:00,22.335,38.34
2019-09-29 04:00:00,22.28,38.33
2019-09-29 06:00:00,22.195,38.335
2019-09-29 08:00:00,22.22,38.325
2019-09-29 10:00:00,22.450000000000003,38.325
2019-09-29 12:00:00,22.485,38.32
2019-09-29 14:00:00,22.535,38.31
2019-09-29 16:00:00,22.615000000000002,38.315
2019-09-29 18:00:00,22.810000000000002,38.315
2019-09-29 20:00:00,22.85,38.285
2019-09-29 22:00:00,22.725,38.33
2019-09-30 00:00:00,22.62,38.325
2019-09-30 02:00:00,22.715,38.305
2019-09-30 04:00:00,22.630000000000003,38.325
2019-09-30 06:00:00,22.545,38.33
2019-09-30 08:00:00,22.515,38.33
2019-09-30 10:00:00,22.56,38.33
2019-09-30 12:00:00,22.575000000000003,38.33
2019-09-30 14:00:00,22.5,38.33
2019-09-30 16:00:00,22.485,38.33
2019-09-30 18:00:00,22.47,38.315
2019-09-30 20:00:00,22.4,38.34
2019-09-30 22:00:00,22.384999999999998,38.33
2019-10-01 00:00:00,22.35,38.33
2019-10-01 02:00:00,22.29,38.33
2019-10-01 04:00:00,22.225,38.34
2019-10-01 06:00:00,22.189999999999998,38.335
2019-10-01 08:00:00,22.23,38.33
2019-10-01 10:00:00,22.48,38.19
2019-10-01 12:00:00,22.66,38.29
2019-10-01 14:00:00,22.775,38.28
2019-10-01 16:00:00,22.81,38.265
2019-10-01 18:00:00,22.71,38.26
2019-10-01 20:00:00,22.575000000000003,38.265
2019-10-01 22:00:00,22.525,38.275000000000006
2019-10-02 00:00:00,22.52,38.205
2019-10-02 02:00:00,22.509999999999998,38.28
2019-10-02 04:00:00,22.35,38.239999999999995
2019-10-02 06:00:00,22.189999999999998,38.275000000000006
2019-10-02 08:00:00,22.06,38.285
2019-10-02 10:00:00,22.105,38.305
2019-10-02 12:00:00,22.17,38.31
2019-10-02 14:00:00,21.795,38.28
2019-10-02 16:00:00,20.29,38.260000000000005
2019-10-02 18:00:00,19.759999999999998,38.245000000000005
2019-10-02 20:00:00,19.685000000000002,38.25
2019-10-02 22:00:00,17.520000000000003,38.175
2019-10-03 00:00:00,16.134999999999998,38.18
2019-10-03 02:00:00,15.945,38.21
2019-10-03 04:00:00,16.244999999999997,38.23
2019-10-03 06:00:00,16.36,38.225
2019-10-03 08:00:00,15.41,38.230000000000004
2019-10-03 10:00:00,15.43,38.245000000000005
2019-10-03 12:00:00,15.405000000000001,38.23
2019-10-03 14:00:00,15.395,38.22
2019-10-03 16:00:00,15.620000000000001,38.17
2019-10-03 18:00:00,15.885,38.235
2019-10-03 20:00:00,15.75,38.235
2019-10-03 22:00:00,15.790000000000001,38.235
2019-10-04 00:00:00,15.33,38.2
2019-10-04 02:00:00,15.120000000000001,38.24
2019-10-04 04:00:00,15.26,38.24
2019-10-04 06:00:00,15.335,38.16
2019-10-04 08:00:00,15.274999999999999,38.22
2019-10-04 10:00:00,15.455,38.144999999999996
2019-10-04 12:00:00,15.675,38.205
2019-10-04 14:00:00,15.465,38.245000000000005
2019-10-04 16:00:00,15.665,38.235
2019-10-04 18:00:00,15.3,38.25
2019-10-04 20:00:00,15.125,38.24
2019-10-04 22:00:00,15.015,38.26
2019-10-05 00:00:00,14.985,38.25
2019-10-05 02:00:00,15.17,38.225
2019-10-05 04:00:00,15.235,38.25
2019-10-05 06:00:00,15.309999999999999,38.225
2019-10-05 08:00:00,15.47,38.245000000000005
2019-10-05 10:00:00,15.84,38.245000000000005
2019-10-05 12:00:00,16.14,38.254999999999995
2019-10-05 14:00:00,16.18,38.245000000000005
2019-10-05 16:00:00,16.23,38.265
2019-10-05 18:00:00,16.285,38.27
2019-10-05 20:00:00,16.24,38.25
2019-10-05 22:00:00,16.22,38.25
2019-10-06 00:00:00,16.19,38.19
2019-10-06 02:00:00,16.185000000000002,38.224999999999994
2019-10-06 04:00:00,16.16,38.265
2019-10-06 06:00:00,16.16,38.175
2019-10-06 08:00:00,16.255,38.275000000000006
2019-10-06 10:00:00,16.505000000000003,38.28
2019-10-06 12:00:00,16.54,38.265
2019-10-06 14:00:00,16.56,38.245000000000005
2019-10-06 16:00:00,16.56,38.225
2019-10-06 18:00:00,16.54,38.275000000000006
2019-10-06 20:00:00,16.490000000000002,38.235
2019-10-06 22:00:00,16.375,38.230000000000004
2019-10-07 00:00:00,16.36,38.27
2019-10-07 02:00:00,16.18,38.28
2019-10-07 04:00:00,16.04,38.28
2019-10-07 06:00:00,15.925,38.3
2019-10-07 08:00:00,15.96,38.265
2019-10-07 10:00:00,16.205,38.24
2019-10-07 12:00:00,16.32,38.235
2019-10-07 14:00:00,16.22,38.224999999999994
2019-10-07 16:00:00,16.11,38.239999999999995
2019-10-07 18:00:00,16.0,38.265
2019-10-07 20:00:00,15.825,38.27
2019-10-07 22:00:00,15.579999999999998,38.28
2019-10-08 00:00:00,15.655000000000001,38.28
2019-10-08 02:00:00,15.66,38.275000000000006
2019-10-08 04:00:00,15.635000000000002,38.28
2019-10-08 06:00:00,15.594999999999999,38.265
2019-10-08 08:00:00,15.64,38.25
2019-10-08 10:00:00,15.71,38.165000000000006
2019-10-08 12:00:00,15.84,38.275
2019-10-08 14:00:00,15.84,38.305
2019-10-08 16:00:00,15.85,38.215
2019-10-08 18:00:00,16.299999999999997,38.2
2019-10-08 20:00:00,16.494999999999997,38.254999999999995
2019-10-08 22:00:00,16.485,38.245000000000005
2019-10-09 00:00:00,16.490000000000002,38.245000000000005
2019-10-09 02:00:00,16.61,38.19
2019-10-09 04:00:00,16.68,38.24
2019-10-09 06:00:00,16.745,38.21
2019-10-09 08:00:00,17.055,38.245000000000005
2019-10-09 10:00:00,17.755,38.25
2019-10-09 12:00:00,17.924999999999997,38.265
2019-10-09 14:00:00,17.985,38.285
2019-10-09 16:00:00,18.04,38.29
2019-10-09 18:00:00,18.605,38.32
2019-10-09 20:00:00,18.775,38.325
2019-10-09 22:00:00,18.785,38.335
2019-10-10 00:00:00,18.86,38.335
2019-10-10 02:00:00,18.765,38.34
2019-10-10 04:00:00,18.71,38.275
2019-10-10 06:00:00,18.700000000000003,38.25
2019-10-10 08:00:00,18.655,38.29
2019-10-10 10:00:00,18.77,38.33
2019-10-10 12:00:00,18.93,38.34
2019-10-10 14:00:00,19.095,38.355000000000004
2019-10-10 16:00:00,19.11,38.325
2019-10-10 18:00:00,18.975,38.375
2019-10-10 20:00:00,18.825,38.37
2019-10-10 22:00:00,18.725,38.364999999999995
2019-10-11 00:00:00,18.65,38.31
2019-10-11 02:00:00,18.595,38.364999999999995
2019-10-11 04:00:00,18.66,38.36
2019-10-11 06:00:00,18.744999999999997,38.34
2019-10-11 08:00:00,18.855,38.325
2019-10-11 10:00:00,19.064999999999998,38.254999999999995
2019-10-11 12:00:00,19.25,38.29
2019-10-11 14:00:00,19.369999999999997,38.36
2019-10-11 16:00:00,19.475,38.3
2019-10-11 18:00:00,19.445,38.36
2019-10-11 20:00:00,19.36,38.355000000000004
2019-10-11 22:00:00,19.335,38.35
