date,OraNano,OraPicoProk,RedNano,RedPico,RedPicoProk
2019-09-18 14:00:00,19245.198845738254,15917.589709635991,162007.81805891774,1284.1216644983374,165.14363472338624
2019-09-18 16:00:00,24277.928971790476,16444.141119655116,138076.8715696245,1043.533244704798,242.09402574108978
2019-09-18 18:00:00,21867.787333332795,17769.002034041972,147342.49937781243,1150.10498567327,336.4527160755596
2019-09-18 20:00:00,21319.356078403653,15811.519235761023,107395.12346714931,1010.7027487715601,299.48778675050266
2019-09-18 22:00:00,20347.854164347475,16985.49422298841,107493.31927393505,1226.636786170657,295.90683168868185
2019-09-19 00:00:00,24934.313563281023,12675.804559082939,88164.17490830302,1177.3520446323857,234.98146579313766
2019-09-19 02:00:00,22741.24109422773,10808.014716337548,75839.79727029086,1094.2015320946718,270.8396510277258
2019-09-19 04:00:00,26608.043435902404,9738.630435999925,71168.77324188265,1130.2845777616633,254.84542978359525
2019-09-19 06:00:00,24244.550154490946,9618.095701967524,59970.96874568667,945.0839660447098,255.47469967927677
2019-09-19 08:00:00,27952.254480522664,9691.40975056452,55084.49799115906,878.981798782795,196.4143026888631
2019-09-19 10:00:00,45395.74456807355,8762.498791927532,56463.02555208811,666.3656447450684,149.09115140659551
2019-09-19 12:00:00,113086.84905400845,11988.354707229311,75396.1216352014,701.7730475082483,291.6747967715528
2019-09-19 14:00:00,157665.47124065767,11448.48708817227,77150.14330491755,507.9945461290871,326.81906295721984
2019-09-19 16:00:00,65071.636704138626,10492.115171438369,43350.746467066216,459.26345011131247,343.80670863187373
2019-09-19 18:00:00,38923.864230051804,9607.86928915283,76140.15431050067,755.4581916233747,370.91559416110124
2019-09-19 20:00:00,18698.940144000608,11579.419505914997,61969.38167156323,843.0769466165738,476.75631816845305
2019-09-19 22:00:00,27758.696856615872,11860.795404114835,61162.4187325241,873.389534989291,513.6255748965988
2019-09-20 00:00:00,61126.570741453594,11205.74933283111,77088.66522547878,1017.7813674272545,260.8166478364653
2019-09-20 02:00:00,29149.239925134207,8810.807150794208,43271.78144674648,736.6812309782526,379.26518616750866
2019-09-20 04:00:00,18657.53094469825,8802.159827302052,48848.39918137173,944.5210824513513,249.83513607809874
2019-09-20 06:00:00,18316.765961456746,6961.840879187442,39270.35928528596,759.865720706966,229.53712612298426
2019-09-20 08:00:00,25105.78003624169,7079.897584887277,46690.40688500459,616.2755618424351,181.1923243940138
2019-09-20 10:00:00,70397.62113431479,7634.145155265943,64694.65550292859,607.7471838371182,172.14666231777173
2019-09-20 12:00:00,50562.02179005022,7621.799669562445,65721.5737678962,571.4325568871719,154.593902415679
2019-09-20 14:00:00,67850.41413478095,8137.552984137773,55783.90925165842,480.86978419258077,151.26788678774327
2019-09-20 16:00:00,42444.67184483514,5032.539176285,31179.59529226877,272.38947010742845,121.51186378008538
2019-09-20 18:00:00,42543.83628740981,6322.724210432183,39799.08055138025,351.80147105276546,201.28994667022408
2019-09-20 20:00:00,29613.571446530143,6707.102154040307,41001.67198658815,406.3556668174846,201.96167713326315
2019-09-20 22:00:00,32807.97906180298,6421.615922700271,48843.42622574363,498.630491888242,193.08477539216554
2019-09-21 00:00:00,31888.115774655766,7158.905230036759,48637.61492143846,624.3720634264984,194.6278041474958
2019-09-21 04:00:00,16971.233196276855,5346.008508310559,44350.91148844288,722.6435749433641,177.43189796141056
2019-09-21 06:00:00,9573.254684118041,4918.726182570696,38488.393332767395,657.1791961174364,166.42370676329358
2019-09-21 08:00:00,13079.559736980935,4482.927410412392,34101.90727327383,432.4596102198346,138.64442090968362
2019-09-21 10:00:00,14678.118482979173,4106.70507519536,33618.53858953259,303.8716503594493,165.3128472406379
2019-09-21 12:00:00,13510.219063688106,4217.303620788263,30323.230681302302,208.83408571292992,176.76662541969353
2019-09-21 14:00:00,13091.169410317705,4089.4032171787267,28237.775215577116,178.1825469101502,206.73822180842546
2019-09-21 16:00:00,5512.337135368534,4294.838435437324,25844.06038259566,224.88252048793294,211.18910923098784
2019-09-21 18:00:00,3124.212702961008,4379.8401837465,22651.867042308146,323.2123386898324,205.18322458417185
2019-09-21 20:00:00,1304.3826837535312,4212.934760319408,12321.335604026677,230.22157091091626,198.3791050327004
2019-09-21 22:00:00,2746.463920210645,4049.6401369369514,15128.815763991648,260.7329907549223,192.84466285983837
2019-09-22 00:00:00,4104.829937172287,3820.423809944092,14279.549600428501,276.41443927210537,182.27914634640993
2019-09-22 02:00:00,1206.4096323697956,1770.6874285329707,8290.056296886289,150.88645451696635,204.9036873796214
2019-09-22 04:00:00,1228.6068572547197,1639.5363251341394,6134.704094626165,141.51125219689357,212.51408571890155
2019-09-22 06:00:00,2088.115510705805,2597.331665530073,11395.482961616128,215.1367113482427,193.06390123406192
2019-09-22 08:00:00,2257.4480536788355,2651.1593931511297,12106.689176698797,187.36995069375018,186.71901747726895
2019-09-22 10:00:00,3669.1866534009105,4242.173848820283,21327.71278578801,255.19677283342764,208.73085024860652
2019-09-22 12:00:00,3658.352982268858,4912.918522396096,24849.625095542604,218.16034962925696,266.58123409709833
2019-09-22 14:00:00,1561.1753789767924,2511.00515495683,11217.063023243098,95.03530944785473,190.38668486036664
2019-09-22 16:00:00,2167.034645547977,2236.5384690725527,10439.393665446927,89.6624270213147,173.4509270468922
2019-09-22 18:00:00,2216.372029509597,1817.9532777449033,8806.19231837984,98.75622564993543,167.36654733482084
2019-09-22 20:00:00,3172.7400954882296,1974.1633125843932,9581.7877843109,118.38291365339812,195.58587443778515
