,Unstratified,Stratified (events),Stratified (Non-events)
Orgnano,69.2027807043438 (97.680788018102),58.1895369795702 (62.23601979082048),77.73135740724156 (90.01823209426465)
Orgpicopro,8706.834963684942 (14998.818587508984),13161.05000653029 (9739.311709072681),18633.2192592548 (15789.766429464846)
Rednano,881.4968482564883 (853.5398446832835),908.6385440912119 (634.031804091857),1052.808874188554 (1013.4284909435835)
Redpicoeuk,2775.4486896948056 (4229.139638569004),1612.2750095052907 (1866.7219529007125),997.3823759162166 (1019.6526711803933)
Redpicopro,2734.508770444761 (3167.4954738510296),4267.937135076082 (5349.913150304137),2988.5457829159423 (3747.075075765919)
