date,ORGNANO,ORGPICOPRO,REDNANO,REDPICOEUK,REDPICOPRO
2019-09-30 00:00:00,0.0376082799171593,0.00762681181752,0.0223025374779429,0.0170376475982223,0.016556669594447
2019-09-30 01:00:00,0.0370724846149919,0.0074086343055679,0.0218159663429542,0.0167522223486536,0.0162870049746999
2019-09-30 02:00:00,0.0365448705780738,0.0070355263023387,0.0217602617699697,0.0160650187678257,0.0160259840158439
2019-09-30 03:00:00,0.0344861760711686,0.0068281329205319,0.0218986853076366,0.0153048595013381,0.0152514131622556
2019-09-30 04:00:00,0.0355693947719047,0.0065460228228104,0.0216256815733225,0.0143757187941933,0.0150222975217407
2019-09-30 05:00:00,0.0343475488584257,0.0064643998742788,0.0219362382315804,0.0142703838785039,0.0147999639408809
2019-09-30 06:00:00,0.0345957551051566,0.0070822928143137,0.0218411492843522,0.0137784952063686,0.0155821197472426
2019-09-30 07:00:00,0.0354502015396685,0.0079561674130683,0.0217420066772309,0.0141654982503674,0.0153430379297435
2019-09-30 08:00:00,0.0361762566104824,0.0106375840473412,0.0221786949439213,0.0149107658311411,0.0165615085890014
2019-09-30 09:00:00,0.0367828403570343,0.0150725301254173,0.0225767299567377,0.0166405634715279,0.0181910234018385
2019-09-30 10:00:00,0.0354777268744471,0.0208151472124207,0.0220782544627074,0.0181906715506344,0.020658011620422
2019-09-30 11:00:00,0.0360027080843057,0.0264169723447747,0.0224422883666904,0.0209016618265654,0.0225141602447865
2019-09-30 12:00:00,0.036988569369341,0.0299455214614834,0.0226073457991376,0.0232650605991864,0.0237946130732603
2019-09-30 13:00:00,0.0383608678724459,0.0319699358139367,0.022750412479045,0.0252873197146481,0.0236749330282686
2019-09-30 14:00:00,0.0384967125010842,0.0353045829231231,0.0224014451332781,0.0268157512449516,0.0252419818859932
2019-09-30 15:00:00,0.038563885606604,0.0379818682175959,0.0225252242111083,0.0273229899123528,0.0254445426654053
2019-09-30 16:00:00,0.0366520380583228,0.0369532271354327,0.0227800283318196,0.0270662182810746,0.0256163630827917
2019-09-30 17:00:00,0.0367445953258958,0.033745987365835,0.0225662782481439,0.0260477685929601,0.0238012028796302
2019-09-30 18:00:00,0.0367805363210545,0.0303314158820722,0.0222118444313271,0.0247168034300458,0.0228647821749277
2019-09-30 19:00:00,0.0363357985584019,0.0271325836297418,0.0225717581956477,0.0233210260130932,0.0216040238652759
2019-09-30 20:00:00,0.0363062247684658,0.0245136261958745,0.0227597945302414,0.0219362242690817,0.0211471430873882
2019-09-30 21:00:00,0.0358344530092163,0.0221188108846508,0.0223874759418994,0.0209778212233989,0.0214280942564882
2019-09-30 22:00:00,0.035753169705818,0.0201759521594767,0.0217659554910945,0.019864092000093,0.0199223949470806
2019-09-30 23:00:00,0.0356368263808555,0.0185412162400862,0.0222014961193029,0.0188742284762018,0.0198785970326352
2019-10-01 00:00:00,0.0023837913552764,0.0009289634017832,0.0171844583531424,0.0071532151905842,0.0207544314694461
2019-10-01 01:00:00,0.0023781224049672,0.0008991111007841,0.0166239010201554,0.0060477958753217,0.0203324286330755
2019-10-01 02:00:00,0.0,0.0007534703460176,0.0160861377516248,0.0055618332025186,0.0204463217089206
2019-10-01 03:00:00,0.0,0.0007239557255314,0.0163548884162772,0.0044869952636545,0.0195278558889953
2019-10-01 04:00:00,0.0,0.0007523583895601,0.0160917046109983,0.0041697752151481,0.0201518154373082
2019-10-01 05:00:00,0.0023724803536309,0.0006650762914137,0.0163435711421567,0.0038564272059797,0.0192646115829254
2019-10-01 06:00:00,0.0070838548884051,0.000693521382475,0.0163299697135439,0.0036941305401434,0.0203396842371228
2019-10-01 07:00:00,0.0116960397631907,0.000952807244122,0.0158223325523359,0.0047086608481361,0.0204040293327612
2019-10-01 08:00:00,0.0092593254127972,0.0014707369311519,0.0167825901764722,0.0068758957167425,0.0209164027876758
2019-10-01 09:00:00,0.0114548789747664,0.002618894942401,0.0181649354125408,0.0094319787967798,0.0213887562132724
2019-10-01 10:00:00,0.0068104690025263,0.0041588449611555,0.0185386043754701,0.0140544404322771,0.0218222865810205
2019-10-01 11:00:00,0.0157130056645567,0.0061633477076696,0.0195700961940979,0.0191825345975936,0.0217873541849078
2019-10-01 12:00:00,0.0154699217721319,0.0087232908440899,0.0207588681808666,0.0225163183206707,0.023430251808386
2019-10-01 13:00:00,0.0109052334822621,0.0118019451006397,0.0209929264993551,0.0248225344209203,0.0233052578473814
2019-10-01 14:00:00,0.0150702529209985,0.014552351092588,0.0214178008500081,0.0299274205414726,0.023176479542947
2019-10-01 15:00:00,0.0127390257774298,0.0161289424780033,0.0222254888818991,0.0338196482397866,0.0230443252582822
2019-10-01 16:00:00,0.0125787822068597,0.0157665150962973,0.0229704874614693,0.0330761079528372,0.0225252242111074
2019-10-01 17:00:00,0.0082988028146955,0.0144210412138772,0.0218543703940366,0.0294366722951303,0.0227800283318205
2019-10-01 18:00:00,0.0102775827582402,0.0126895666823312,0.02236609808533,0.0251651245730464,0.0226396754370644
2019-10-01 19:00:00,0.0061162270174355,0.0109439864521352,0.0218767799282755,0.0213015079042194,0.0214203143569662
2019-10-01 20:00:00,0.00809721023262,0.0095579873540678,0.0214084144767792,0.0189889665478038,0.0223770658237266
2019-10-01 21:00:00,0.0100301743599367,0.0083612738458711,0.0216936290805698,0.0165815951429185,0.0208558132808383
2019-10-01 22:00:00,0.0099305682026011,0.0074433635637607,0.0208737953670841,0.0147132547354936,0.0211035742048846
2019-10-01 23:00:00,0.0059113472630567,0.0066197389782622,0.0204469742306266,0.0135537864798145,0.020667402294043
