,Unstratified,Stratified (events),Stratified (Non-events)
Orgnano,4.03043554061391e-06 (6.742576999738337e-06),2.551363372411539e-06 (2.866013211647002e-06),3.6579189116703112e-06 (5.2299952815295735e-06)
Orgpicopro,1.5536679511066492e-06 (2.3843687202109303e-06),2.169415886613732e-06 (1.5467808863228674e-06),3.122527777959535e-06 (2.4874207821179878e-06)
Rednano,8.854209553742824e-06 (9.344111849680526e-06),9.785897484022313e-06 (8.160127775768945e-06),1.4890862466034207e-05 (1.8307985803098487e-05)
Redpicoeuk,1.6411192256382576e-06 (2.115698778784586e-06),9.373569827363509e-07 (1.0277978663698144e-06),6.521830868048638e-07 (6.883050083312697e-07)
Redpicopro,1.4053901119219458e-07 (1.931754178227376e-07),1.9774913906485867e-07 (2.684204402991842e-07),1.2832536582973453e-07 (1.3333637199877045e-07)
