date,calanque,marseille,cotebleue
2019-01-01 00:00:00,0.01950867105117948,0.08999908377327485,0.003231853532983586
2019-01-01 01:00:00,0.01840492712768775,0.08356019928703727,0.006832151326028507
2019-01-01 02:00:00,0.014989344940334864,0.0876939587117693,-0.004294098614536818
2019-01-01 03:00:00,0.007683199838973936,0.08620717084272884,-0.01593849037413967
2019-01-01 04:00:00,-0.01226677717474263,0.0948013852172532,-0.037255855808711304
2019-01-01 05:00:00,-0.042536395462200366,0.06825340294206343,-0.05752465412829527
2019-01-01 06:00:00,-0.055447705237901206,0.045189242929706955,-0.0627099404372877
2019-01-01 07:00:00,-0.06372324252455516,0.04041145752884314,-0.06580721139996687
2019-01-01 08:00:00,-0.07210220695059853,0.052269753670984825,-0.07826200974024933
2019-01-01 09:00:00,-0.052682714013793173,0.04824289725901142,-0.05626301998439272
2019-01-01 10:00:00,-0.024478306645678592,0.06083723538249394,-0.029970348880519793
2019-01-01 11:00:00,-0.01174239055744808,0.06691406200507015,-0.019448008279215896
2019-01-01 12:00:00,0.0035589858125008897,0.06262019269860677,-0.0033309757195160846
2019-01-01 13:00:00,0.024136212199223423,0.07436345510467988,0.01620161251612389
2019-01-01 14:00:00,0.08560452852743151,0.11221380795217574,0.07505484352961701
2019-01-01 15:00:00,0.23081300761628834,0.22897305301953683,0.17258456081995358
2019-01-01 16:00:00,0.3758341485979787,0.3626599888174711,0.26125876238910495
2019-01-01 17:00:00,0.559130938282955,0.5208180051465978,0.39733635616347013
2019-01-01 18:00:00,0.8140224991975101,0.7578564652950008,0.5767583276499225
2019-01-01 19:00:00,1.1199838611180455,1.0645779842377956,0.7605884128994087
2019-01-01 20:00:00,1.4030799072251627,1.3539494388351814,0.9288715703874582
2019-01-01 21:00:00,1.683281526520412,1.6511152642962803,1.0894983790556954
2019-01-01 22:00:00,1.6605675037433243,1.755557622087334,1.0582782588585369
2019-01-01 23:00:00,1.7741147147629166,1.853951262021185,1.1332294718430445
2019-01-02 00:00:00,1.7766687879984153,1.8776967427022144,1.1479265768721023
2019-01-02 01:00:00,1.9855819651488895,2.1038852355088036,1.2953144193846813
2019-01-02 02:00:00,2.3136078766922976,2.5098886940609213,1.4871845145929163
2019-01-02 03:00:00,2.715930047122732,2.9130960135992385,1.7324867307629055
2019-01-02 04:00:00,3.0129045515183264,3.251414634104861,1.8753104885814884
2019-01-02 05:00:00,3.1387010006553457,3.4695007222358223,1.906821574309234
2019-01-02 06:00:00,3.0445602860508205,3.482272112262465,1.7845303228014426
2019-01-02 07:00:00,2.8583901533311504,3.408289651090851,1.6286693059189612
2019-01-02 08:00:00,2.786402593301596,3.5191146864075487,1.5422834161173091
2019-01-02 09:00:00,2.72017790529184,3.59688490637106,1.5398658676113255
2019-01-02 10:00:00,2.2406568199055092,2.999114353778634,1.531254130737651
2019-01-02 11:00:00,2.000829377910016,2.859899372204193,1.4887616725340438
2019-01-02 12:00:00,1.560833769002576,2.5036167635399624,1.084124283618447
2019-01-02 13:00:00,1.772254567708069,2.5652924614110915,1.130564888847653
2019-01-02 14:00:00,1.7037254589555593,2.4322031177620795,1.0960602470947862
2019-01-02 15:00:00,1.4194343632867794,2.332860005972531,0.8296246563823527
2019-01-02 16:00:00,1.1621531181405484,1.8277672285119768,0.6266471240529544
2019-01-02 17:00:00,1.2317247730338232,1.9351338556481774,0.6738636024082373
2019-01-02 18:00:00,1.201986052458809,2.017503056384344,0.6821097877403063
2019-01-02 19:00:00,0.9902233644398487,1.7774368921281365,0.5487689362337101
2019-01-02 20:00:00,0.7673468225688492,1.4610712791533609,0.38511266214628365
2019-01-02 21:00:00,0.5791645712020603,1.1793946237551158,0.2683313036831517
2019-01-02 22:00:00,0.5162284431233987,1.1170939552317805,0.23678977719288896
2019-01-02 23:00:00,0.30411823718599257,0.8703842798357225,0.08802553327636894
2019-01-03 00:00:00,0.23878312809820634,0.641408204572706,0.10094696623606769
2019-01-03 01:00:00,0.27854262271397673,0.7258778192407728,0.0893910755977263
2019-01-03 02:00:00,0.23050648773889137,0.6958084020976492,0.03322810748902081
2019-01-03 03:00:00,0.14131332429667018,0.5744310405948533,-0.023147248162143162
2019-01-03 04:00:00,0.11805113886506953,0.4688204783601587,-0.010817845922095717
2019-01-03 05:00:00,0.1514769981584439,0.46681142975161455,0.020560886959842022
2019-01-03 06:00:00,0.1516019874026607,0.4294949969397781,0.032233525725094095
2019-01-03 07:00:00,0.16599042008799178,0.3863853786011633,0.04585648119186086
2019-01-03 08:00:00,0.1931569509755028,0.4171814268972606,0.07100119629834334
2019-01-03 09:00:00,0.18368538803316262,0.40176326378747246,0.0682056747714603
2019-01-03 10:00:00,0.049997428273041,0.27926761402997496,-0.035739906666739686
2019-01-03 11:00:00,-0.0014991477916266548,0.185916558316373,-0.06006892530805668
2019-01-03 12:00:00,-0.011526504186122756,0.07377176166958363,-0.04364236622607194
2019-01-03 13:00:00,0.0050222575159253905,0.09236289880156306,-0.02794986846215747
2019-01-03 14:00:00,0.017003350302705746,0.09800220267548174,-0.009422321810078281
2019-01-03 15:00:00,0.09008712686881357,0.22929818468772797,0.059549511158981265
2019-01-03 16:00:00,0.16689922851361672,0.43036252358344196,0.07526959391861687
2019-01-03 17:00:00,0.21682909850510668,0.5860883176659814,0.11090630586325391
2019-01-03 18:00:00,0.22167749429088032,0.6396961449652991,0.09792496733344312
2019-01-03 19:00:00,0.22712271531194936,0.6089115603203604,0.11241815687999995
2019-01-03 20:00:00,0.22501664711990685,0.5967238719787471,0.10411877573334176
